,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,(Darlin&#39;) You Know I Love You,What&#39;s Love Got To Do With It,Tina Turner,269000,0,1,
0,(Love Is Like A) Heatwave (2016 Remastered),The Singles,Phil Collins,172000,0,2,
0,(Mucho Mambo) Sway (Radio Edit),Clubland 90s,Shaft,206000,0,3,
0,(Song for My) Sugar Spun Sister (Remastered),The Stone Roses,The Stone Roses,206000,0,1,
0,(Stay Away From) The Cocaine Train,The Essential Johnny Paycheck,Johnny Paycheck,188000,0,2,
0,+ Under Pressure,Let&#39;s Dance,David Bowie,245888,0,1,
0,0.34,White on Blonde,Texas,34690,0,1,
0,0180 Dolphin,Halle Saale,Super Flu,148000,0,22,
0,02 - Space Oddity,Best Of David Bowie 1969-1974,David Bowie,315138,0,1,
0,06 - Good Enough,Free Peace Sweet,Dodgy,239018,0,1,
0,1,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,123360,0,3,
0,10,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,88734,0,2,
0,100,The New Classic,Iggy Azalea,249000,0,1,
0,10k Fun Run For Nothing,Beer Hall Putsch,Doug Stanhope,283000,0,1,
0,11 Months and 29 Days,The Essential Johnny Paycheck,Johnny Paycheck,224000,0,2,
0,11,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,105910,0,2,
0,116th and Lenox,"The Best of Jazz 200 Classics, Vol.6",Jackie McLean,362000,0,1,
0,12 - Long Life,Free Peace Sweet,Dodgy,288000,0,1,
0,12 Days of Christmas Destruction,Sweet Sound of Smosh,Smosh,94000,0,1,
0,12,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,59763,0,2,
0,13,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,86129,0,2,
0,13.The Wanted - Glad You Came.mp3,"Now That&#39;s What I Call Music, Vol. 79.",Various,200017,0,1,
0,14,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,59151,0,2,
0,15,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,217221,0,2,
0,16,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,150884,0,2,
0,17 Girls In A Row (Explicit Version),Balls Out,Steel Panther,221000,0,8,
0,17,Only By The Night,Kings of Leon,185389,0,5,
