,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
0,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2019-08-20T16:56:39.425Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": II. Romanze - Andante",,2019-08-20 16:56:39.425000+00:00,16
1,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2019-08-20T16:49:54.510Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": I. Allegro",,2019-08-20 16:49:54.510000+00:00,16
2,David Guetta,Google Play Music,['Google Play Music'],,2019-08-20T16:43:22.026Z,Listened to Shot Me Down (feat. Skylar Grey) [Listenin' Continuous Mix],,2019-08-20 16:43:22.026000+00:00,16
3,David Guetta & Cedric Gervais & Chris Willis,Google Play Music,['Google Play Music'],,2019-08-20T16:02:42.318Z,Skipped Would I Lie to You (Extended),,2019-08-20 16:02:42.318000+00:00,16
4,David Guetta & Cedric Gervais & Chris Willis,Google Play Music,['Google Play Music'],,2019-08-20T16:02:42.104Z,Listened to Would I Lie to You (Extended),,2019-08-20 16:02:42.104000+00:00,16
5,R3HAB & Icona Pop,Google Play Music,['Google Play Music'],,2019-08-20T15:40:43.088Z,Listened to This Is How We Party,,2019-08-20 15:40:43.088000+00:00,15
6,Avicii,Google Play Music,['Google Play Music'],,2019-08-20T15:38:15.477Z,Listened to Broken Arrows,,2019-08-20 15:38:15.477000+00:00,15
7,David Guetta,Google Play Music,['Google Play Music'],,2019-08-20T15:34:22.693Z,Listened to Like I Do,,2019-08-20 15:34:22.693000+00:00,15
8,Sigala,Google Play Music,['Google Play Music'],,2019-08-20T15:31:01.129Z,Listened to Easy Love,,2019-08-20 15:31:01.129000+00:00,15
9,Tiësto,Google Play Music,['Google Play Music'],,2019-08-20T15:27:11.320Z,Listened to Chemicals (Extended Mix) (feat. Thomas Troelsen),,2019-08-20 15:27:11.320000+00:00,15
10,Martin Garrix,Google Play Music,['Google Play Music'],,2019-08-20T15:22:44.536Z,Listened to Hold On & Believe (feat. The Federal Empire),,2019-08-20 15:22:44.536000+00:00,15
11,Calvin Harris,Google Play Music,['Google Play Music'],,2019-08-20T15:18:50.146Z,Listened to Pray to God (feat. HAIM),,2019-08-20 15:18:50.146000+00:00,15
12,Bakermat,Google Play Music,['Google Play Music'],,2019-08-20T15:14:57.944Z,Listened to Teach Me,,2019-08-20 15:14:57.944000+00:00,15
13,Robin Schulz,Google Play Music,['Google Play Music'],,2019-08-20T15:09:25.518Z,Listened to Sounds Easy (feat. Ruxley),,2019-08-20 15:09:25.518000+00:00,15
14,Calvin Harris,Google Play Music,['Google Play Music'],,2019-08-20T15:06:16.699Z,Listened to Thinking About You (feat. Ayah Marar),,2019-08-20 15:06:16.699000+00:00,15
15,Klingande,Google Play Music,['Google Play Music'],,2019-08-20T15:02:08.760Z,Listened to Losing U (feat. Daylight),,2019-08-20 15:02:08.760000+00:00,15
16,Kygo,Google Play Music,['Google Play Music'],,2019-08-20T14:58:31.764Z,Listened to Permanent,,2019-08-20 14:58:31.764000+00:00,14
17,Klingande,Google Play Music,['Google Play Music'],,2019-08-20T14:54:43.492Z,Listened to RIVA (Restart the Game) [feat. Broken Back] [UK Radio Edit],,2019-08-20 14:54:43.492000+00:00,14
18,Dimitri Vegas & Like Mike,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T14:51:44.193Z,Listened to Complicated (feat. Kiiara),,2019-08-20 14:51:44.193000+00:00,14
19,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T14:48:39.916Z,Listened to Heaven,,2019-08-20 14:48:39.916000+00:00,14
20,Ummet Ozcan,Google Play Music,['Google Play Music'],,2019-08-20T14:44:02.581Z,Skipped Melody,,2019-08-20 14:44:02.581000+00:00,14
21,Ummet Ozcan,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T14:44:02.516Z,Listened to Melody,,2019-08-20 14:44:02.516000+00:00,14
22,David Guetta & Cedric Gervais & Chris Willis,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T14:43:22.569Z,Listened to Would I Lie to You (Extended),,2019-08-20 14:43:22.569000+00:00,14
23,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:45:23.183Z,Listened to Heaven,,2019-08-20 13:45:23.183000+00:00,13
24,Calvin Harris,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:40:45.936Z,Listened to Feel So Close (Radio Edit),,2019-08-20 13:40:45.936000+00:00,13
25,Michael Calfan,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:37:18.067Z,Listened to Nobody Does It Better,,2019-08-20 13:37:18.067000+00:00,13
26,R3HAB & Icona Pop,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:34:49.789Z,Listened to This Is How We Party,,2019-08-20 13:34:49.789000+00:00,13
27,David Guetta,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:32:22.191Z,Listened to Shot Me Down (feat. Skylar Grey) [Listenin' Continuous Mix],,2019-08-20 13:32:22.191000+00:00,13
28,Afrojack & David Guetta,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:28:58.263Z,Listened to Another Life (feat. Ester Dean),,2019-08-20 13:28:58.263000+00:00,13
29,Kygo,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:25:29.597Z,Listened to Permanent,,2019-08-20 13:25:29.597000+00:00,13
30,Bakermat,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:21:41.316Z,Listened to Teach Me,,2019-08-20 13:21:41.316000+00:00,13
31,Klingande,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:12:41.449Z,Listened to Losing U (feat. Daylight),,2019-08-20 13:12:41.449000+00:00,13
32,Calvin Harris,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:09:04.457Z,Listened to Thinking About You (feat. Ayah Marar),,2019-08-20 13:09:04.457000+00:00,13
33,Martin Garrix,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:04:56.503Z,Listened to Hold On & Believe (feat. The Federal Empire),,2019-08-20 13:04:56.503000+00:00,13
34,Sigala,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T13:01:02.160Z,Listened to Easy Love,,2019-08-20 13:01:02.160000+00:00,13
35,Dimitri Vegas & Like Mike,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:57:12.673Z,Listened to Complicated (feat. Kiiara),,2019-08-20 12:57:12.673000+00:00,12
36,Klingande,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:54:08.096Z,Listened to RIVA (Restart the Game) [feat. Broken Back] [UK Radio Edit],,2019-08-20 12:54:08.096000+00:00,12
37,David Guetta,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:51:08.785Z,Listened to Listen (feat. John Legend),,2019-08-20 12:51:08.785000+00:00,12
38,Tiësto,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:47:22.240Z,Listened to Chemicals (Extended Mix) (feat. Thomas Troelsen),,2019-08-20 12:47:22.240000+00:00,12
39,Calvin Harris,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:42:55.419Z,Listened to Pray to God (feat. HAIM),,2019-08-20 12:42:55.419000+00:00,12
40,Kygo,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T12:39:03.188Z,Listened to With You (feat. Wrabel),,2019-08-20 12:39:03.188000+00:00,12
41,Mr. Probz,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:29:38.492Z,Listened to Till You're Loved,,2019-08-20 11:29:38.492000+00:00,11
42,Sebastian Ingrosso,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:26:38.378Z,Listened to Dark River (Bonus Track),,2019-08-20 11:26:38.378000+00:00,11
43,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:23:25.970Z,Listened to Broken Arrows,,2019-08-20 11:23:25.970000+00:00,11
44,David Guetta,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:19:33.232Z,Listened to Like I Do,,2019-08-20 11:19:33.232000+00:00,11
45,Robin Schulz,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:16:11.697Z,Listened to Sounds Easy (feat. Ruxley),,2019-08-20 11:16:11.697000+00:00,11
46,Calvin Harris,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:10:22.823Z,Listened to Slide (feat. Frank Ocean & Migos),,2019-08-20 11:10:22.823000+00:00,11
47,Kygo,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:06:32.018Z,Listened to Never Let You Go (feat. John Newman),,2019-08-20 11:06:32.018000+00:00,11
48,Alesso,Google Play Music,['Google Play Music'],"[{'name': 'Served location and activity-based recommendations'}, {'name': 'Activity: Shopping'}, {'name': 'Activity: Leisure'}, {'name': 'Temperature: Warm'}, {'name': 'Weather: Partly cloudy'}]",2019-08-20T11:02:39.117Z,Listened to REMEDY,,2019-08-20 11:02:39.117000+00:00,11
